번호,가게명,가게주소,가게시작시간,가게종료시간,가게전화번호,메인이미지URL,서브이미지1URL,서브이미지2URL,서브이미지3URL
11,스타벅스 미아사거리역점,서울 강북구 도봉로 32 (우)01220,"",07:00,1522-3232,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
12,전광수커피하우스 북한산점,서울 강북구 4.19로 97 1층 (우)01016,09:30,22:00,02-991-0233,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FAC15F863455246A3B718A42C67898EE6,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F82314f5ddaeef658f88ad669d0d467eafcced94b%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F89814705047df5a7aca533c91970e2897aa2c35c%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5ca17628fc0007dcc0bb38179bc54df41e5ecbef%3Foriginal
13,스타벅스 강북구청사거리점,서울 강북구 도봉로 365 (우)01054,"",08:00,1522-3232,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
14,카페 멘덜리,서울 강북구 수유로 18 1층 (우)01112,11:00,22:00,02-980-3721,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7171F80D65C64A8CB7E1CD7B5927F6FC,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FF6E51C94592E41FD974E7CA523901436,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F00CDF6D357EC43B895BCA7477DC03F83,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6F6A5C9DCBAA4E949D6448331A9DE8C4
15,다정도병인양,서울 강북구 4.19로 41-1 2층 (우)01014,"",12:00,02-990-4190,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3B033DBF5F214149B06C2A6ECF40D290,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F00781c78c387b24de2575117d3ee2c162456e30d%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4cd6dcab90674c8befa47f6fe8d15ab300b4ed2a%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fae9e7cd376724f866f92dbff9390b284af3a4366%3Foriginal
16,스타벅스 수유역점,서울 강북구 도봉로 342 (우)01063,"",07:00,1522-3232,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
17,스타벅스 미아뉴타운점,서울 강북구 삼양로 161 행전빌딩 (우)01195,"",07:00,1522-3232,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
18,에이머그,서울 강북구 노해로 21 벤처월드 1층 (우)01080,11:00,22:00,02-6953-2629,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F34B1879DED144E71864A6A581E6F69AD,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Febd982397a8087c1ae8978f6b4ec9c2be6ad35c0%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F07cb7decdaa086d0cd5b5c05beb65881a06a2fdd%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7a4f60a4dddaf5487d5a9fa2424467e640306a3a%3Foriginal
19,스타벅스 미아역점,서울 강북구 도봉로 196 1층 (우)01157,"",07:00,1522-3232,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
20,투썸플레이스 수유사거리점,서울 강북구 도봉로 295 스타타워 1층 (우)01081,"",07:00,02-900-2388,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F8BAB4779028848A39DEAD30782D06F75,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F36c0402310955c3cc8321de55c735ccbb6360bee%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fde5883b8b7da433f774a939b4dbf6ce27bc48eab%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdb661031cb229d9923dc6dad1d2a715535019ef2%3Foriginal
21,카페비르케,"서울 강북구 4.19로 43 1,2층 (우)01014",10:00,23:00,02-997-5841,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
22,스타벅스 파라스파라서울점,서울 강북구 삼양로 689 (우)01000,"",08:00,1522-3232,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
23,아띠랑스,서울 강북구 4.19로 42-1 1층 (우)01011,10:00,22:00,"",//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F71A08D8BD32D4B1DB3773FE56F94E262,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4ab02f92e37fc31994fad4f79484e94776879dc8%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fbdbe0d28b86aa59ac6648ce39d95bece72172933%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd8a4cc8329c3e1fd04201bc8df3c05c350d4b848%3Foriginal
24,구들리,서울 강북구 4.19로12길 65-7 1층 (우)01012,10:00,21:00,0507-1358-5175,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F78C817EE30E34BFAAAB632DF1C9900A9,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7831E882FE0A485F9BC5E8AA3748A970,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD91716EA4786473DBABFF3B944F7E8D7,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F55CDE49644EB4AFB8C4774B65F52AD99
25,브라운헤이븐 미아,서울 강북구 도봉로10라길 20 브라운헤이븐 (우)01216,12:00,22:00,02-6013-1978,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
26,투썸플레이스 미아테라스파크점,서울 강북구 삼양로27길 43 테라스파크 2층 208~210호 (우)01197,08:30,22:00,02-985-2355,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF4BF54A077F5416DB54845B2AAFCFD89,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Ft1.daumcdn.net%2Flocal%2Freview_placeapp%2FbtqfgrP7FZc_kj4xreOeP5sLpJM2Gi9ntk_img.jpg,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F07A12341459745D985D280FB3EF2D56F,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBC544A15E881482283154FAD571B0C38
27,할리스 수유사거리점,서울 강북구 도봉로82길 11 2~4층 (우)01062,08:00,23:00,070-5226-1999,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F851C0015BE974B009E861BE067D2797A,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5661F802A2BD499C9D9BB4AF933AA443,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3B4BE827454F484E82C3B2A2B403FBA0,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD7A874FAB4194DB2804C9EBFDDB7F552
28,몽브루,서울 강북구 4.19로 105 (우)01017,11:00,22:50,02-904-1003,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F725028B48DF14849ABFDAE18E48DD9DA,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F916BE682532D4CD9AE358F35D234BAB2,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd139847c9f591b09597d9c1b033699ccaad7e5ca%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2c8199aa4cc24c2dcd6987e28f3ec0c3e20b858b%3Foriginal
29,라라브레드 수유점,서울 강북구 노해로14길 8 1층 (우)01072,"",08:00,"",//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F28956D181A554C0BAE1DE170FF666E17,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8c2dc4818fbc995f288cd145fbf1fda9a05c83e9%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd4735d451d24cef22568eae21fa924c1d983edda%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd839e61a2e79672dd51c9fdd0ec81dac2cc0bec3%3Foriginal
30,커피타는고양이,서울 강북구 도봉로 34-8 10층 (우)01220,12:00,20:00,02-980-9080,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA8071BEA04B84A4AABCB4F2235C93E2F,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Faff7106cfe53e878dab36ce01950eb04c8476404%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fac1473a5da28f258b7085597ea8a643656da64ee%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fcdecab826436fb6ca5d2560e4230958c6899539f%3Foriginal
31,투썸플레이스 북서울꿈의숲점,서울 강북구 월계로 183 1층 (우)01231,09:00,22:30,02-542-7711,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F301788E09787459EAAA2C1A228949AED,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F45871C8C9FBE4B3A8416461D6A43217D,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F35AA6CE349D24863BE8136ADCA95E830,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE848D1A819324C93A3A6EBFF8D3F31B3
32,빈세앙,서울 강북구 오패산로 405 1층 (우)01065,08:30,21:00,070-8805-0615,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F352FE6F5B4F546E8A2B2F1F9FA58A99F,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F309d814207036c723942aa70b6741194780b6f2c%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F6f7be42b7c7f30e4abc98c645c164a2255af7699%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA3MTBfMjAz%2FMDAxNzIwNjIwMjE2NjA0.DxHB5weQFeH7_AZRQsINvHnnj39KP6FIQn99kkDAR2gg.-NLGaf-BCN8ImgbV7ArF-RvHxywyA9TfBymk646b8b0g.JPEG%2FKakaoTalk_20240710_220900620_03.jpg%3Ftype%3Dw773
33,설빙 서울강북수유역점,"서울 강북구 오패산로 417 2,3층 (우)01062",10:30,22:30,02-999-2003,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
